case,budget,action,score,nodes,depth,attempted,leaf_probes,leaf_win,leaf_loss,eval_probes,eval_hits,tt_hits,tt_cutoffs
0,251,3,-11429,251,2,3,191,0,0,199,8,9,1
0,2000,2,-12714,2000,4,5,1333,15,0,1352,19,162,56
0,10000,0,11073,10000,5,6,6504,301,0,6535,31,823,340
1,251,4,12452,251,2,3,153,0,0,160,7,15,6
1,2000,5,14146,2000,3,4,1345,3,0,1357,12,126,59
1,10000,33,4284,10000,4,5,6211,79,0,6243,32,833,350
2,251,43,9173,251,2,3,157,0,0,165,8,17,6
2,2000,41,14554,2000,3,4,1372,27,0,1392,20,151,52
2,10000,43,4032,10000,4,5,6070,91,0,6172,102,1040,374
3,251,5001,13938,251,1,2,100,31,0,104,4,30,10
3,2000,1,13937,2000,3,4,656,217,0,667,11,306,142
3,10000,4701,14249,10000,4,5,4184,953,0,4234,50,1102,473
4,251,27,-14215,251,1,2,167,38,0,174,7,10,7
4,2000,6,-14519,2000,3,4,1126,414,0,1133,7,158,57
4,10000,6,-14549,10000,4,5,4139,787,0,4158,19,895,392
5,251,27,-7978,251,1,2,157,75,0,164,7,8,5
5,2000,6,-9156,2000,3,4,930,278,0,940,10,162,56
5,10000,7,-14288,10000,4,5,4970,1283,0,4994,24,885,369
6,251,0225,13892,251,1,2,129,0,0,136,7,18,11
6,2000,0235,14198,2000,2,3,1036,27,0,1051,15,161,77
6,10000,0253,13954,10000,3,4,4402,162,0,4459,57,744,466
7,251,54,1546,251,1,2,148,6,0,158,10,14,7
7,2000,7470,-14058,2000,2,3,927,79,0,952,25,154,83
7,10000,7470,-14058,10000,2,3,5306,117,0,5371,65,1030,591
