case,budget,action,score,nodes,depth,attempted,leaf_probes,leaf_win,leaf_loss,eval_probes,eval_hits,tt_hits,tt_cutoffs
0,251,3,-11370,251,2,3,191,0,0,199,8,9,1
0,2000,2,-12629,2000,4,5,1334,15,0,1353,19,162,56
0,10000,0,10971,10000,5,6,6518,309,0,6555,37,823,338
1,251,4,12511,251,2,3,153,0,0,160,7,15,6
1,2000,5,14070,2000,3,4,1345,3,0,1353,8,126,60
1,10000,33,4369,10000,4,5,6210,79,0,6238,28,835,351
2,251,43,9232,251,2,3,157,0,0,165,8,17,6
2,2000,41,14495,2000,3,4,1369,27,0,1389,20,151,52
2,10000,43,4091,10000,4,5,6071,88,0,6175,104,1063,383
3,251,5001,13879,251,1,2,100,31,0,104,4,30,10
3,2000,47411,13873,2000,3,4,952,217,0,961,9,214,98
3,10000,4701,14317,10000,4,5,4192,993,0,4243,51,1051,465
4,251,27,-14283,251,1,2,167,38,0,174,7,10,7
4,2000,6,-14578,2000,3,4,1114,314,0,1121,7,163,60
4,10000,6,-14578,10000,3,4,5589,2397,0,5597,8,634,440
5,251,27,-8080,251,1,2,157,75,0,164,7,8,5
5,2000,6,-9232,2000,3,4,948,286,0,958,10,159,55
5,10000,7,-14178,10000,4,5,4981,1324,0,5007,26,893,373
6,251,1642,13849,251,1,2,127,0,0,138,11,20,8
6,2000,0235,14257,2000,2,3,1042,27,0,1062,20,181,88
6,10000,0253,13810,10000,3,4,4456,144,0,4526,70,649,421
7,251,54,1487,251,1,2,148,6,0,158,10,14,7
7,2000,7470,-13948,2000,2,3,956,142,0,976,20,143,78
7,10000,7470,-13948,10000,2,3,5285,180,0,5354,69,1039,602
